hub_code;period;iso_code;country;status;comments
AFCRN;2017;;Brundi;Completed;IAEA mission 
AFCRN;2017;;Rwanda;Follow-up;Planned 
AFCRN;2017;;Senegal ;Follow-up;Planned 
AFCRN;2017;;Mali;Follow-up;Planned 
AFCRN;2017;;Niger;Follow-up;Old prof retiring, need to find someone new. 
AFCRN;2017;;Cameron;Follow-up;
AFCRN;2017;;Guinea;Follow-up;
AFCRN;2015;;Madagascar;Completed;Part of IEAE mission. 
AFCRN;2015;;Benin ;Follow-up;
AFCRN;2015;;Kenya;Follow-up;Nairobi, Eldoret and Kisumu
AFCRN;2015;;Malawi;Confirmed;Blantyre
AFCRN;2015;;Mali;Planned;
AFCRN;2015;;Mozambique;Follow-up;Beira, Maputo
AFCRN;2015;;Zambia;Follow-up;
AFCRN;2015;;Zimbabwe;Confirmed;Bulawayo
AFCRN;2015;;Burundi;Confirmed;Part of IEAE mission. 
AFCRN;2015;;Gambia;Completed;
AFCRN;2014;;Rwanda;Follow-up;Part of IEAE mission. 
AFCRN;2014;;Namibia;Completed;
AFCRN;2014;;Uganda;Completed;Gulu, Kampala
AFCRN;2014;;Tanzania;Follow-up;Zanzibar, Dar es Salaam
AFCRN;2014;;Senegal;Completed;
AFCRN;2014;;Rwanda;Follow-up;
AFCRN;2014;;Burkina Faso;Follow-up;Bobo-Diolassso
AFCRN;2014;;Mauretania;Follow-up;
AFCRN;2014;;Angola;Completed;Luanda
AFCRN;2014;;Zambia;Follow-up;
AFCRN;2014;;Reunion ;Completed;
AFCRN;2013;;Togo;Completed;
AFCRN;2013;;Benin;Completed;
AFCRN;2013;;Mozambique;Completed;Maputo , Beira
AFCRN;2013;;Tanzania;Completed;Mwanza
AFCRN;2013;;Kenya;Completed;Nairobi
AFCRN;2013;;Botswana;Completed;
AFCRN;2013;;DR Congo;Completed;Lubumbashi
AFCRN;2013;;Ethiopia;Completed;Addis Ababa
AFCRN;2013;;Ghana;Follow-up;Kumasi
AFCRN;2013;;Liberia;Completed;Monrovia
AFCRN;2013;;Cameroon;Completed;Yaounde
AFCRN;2012;;Ghana;Completed;Kumasi and Accra
AFCRN;2012;;Congo;Completed;Brazzaville
AFCRN;2012;;Gabon;Completed;Libreville
AFCRN;2012;;Zambia;Completed;Lusaka
AFCRN;2012;;Guinea;Completed;Conakry
AFCRN;2012;;Nigeria;Completed;Abuja, Ibadan, Calabar, Enugu, Nnewi, Port-Harcourt, Lagos, Ilorin
AFCRN;2012;;Rwanda;Completed;Kigali
AFCRN;2012;;Mauretania;Completed;
AFCRN;2012;;Burkina Faso;Completed;Ouagadougou
AFCRN;2012;;Niger;Completed;Niamey
AFCRN;2012;;Seychelles;Completed;With Sarah to complete. 
CARIB;2017;;British Virgin Islands;Planned;Task force visit with NCI and CDC. Date unknown???
CARIB;2016;;Bahamas;Completed;Task force visit with NCI and CDC
CARIB;2016;;Jamica;Follow-up;Task force visit with NCI and CDC
CARIB;2016;;Trinidad Tobago ;Follow-up;Task force visit with NCI and CDC
CARIB;2016;;Barbados;Completed;Task force visit with NCI and CDC
CARIB;2015;;US Virgin Islands;Completed;Task force visit with NCI and CDC
CARIB;2015;;Grenada;Completed;With NCI and CARPHA. Meeting with CMOHs. 
CARIB;2015;;Trinidad Tobago ;Completed;Damali, Brenda, Betsy, John, Mona, Rachel. Meeting with CARPHA 
CARIB;2014;;Aruba;Completed;Part of CARPHA meeting
CARIB;2013;;Jamaica;Completed;Part of IEAE mission
IZMIR;2016;;Iraq;Completed;Part of workshop 
IZMIR;2016;;Kazakhstan;Completed;Part of workshop. 
IZMIR;2016;;UAE;Planned;Postponed to 2016. 
IZMIR;2015;;Palestine;Completed;
IZMIR;2015;;Algeria ;Completed;Part of IEAE mission. 
IZMIR;2015;;Kyrgyzstan;Completed;Part of IEAE mission. 
IZMIR;2014;;Turkey;Completed;
IZMIR;2014;;Morocco;Completed;Part of IEAE mission. 
IZMIR;2014;;Egypt;Completed;
IZMIR;2013;;Uzbekistan;Completed;
IZMIR;2013;;Jordan;Completed;
LA;2017;;Peru;Follow-up;
LA;2017;;Guatemala;Follow-up;
LA;2016;;Belize;Completed;IAEA Mission 
LA;2016;;Brazil;Completed;Linked with Hub Innuguration 
LA;2016;;Peru;Follow-up;
LA;2016;;Paraguay ;Follow-up;
LA;2016;;Guatemala;Follow-up;
LA;2016;;Hondorus;Follow-up;IAEA Mission 
LA;2016;;Mexico;Follow-up;
LA;2015;;Paraguay;Completed;Peformed by Graciela 
LA;2015;;Panama;Completed;Performed by the Columbia Collaborating Centre
LA;2015;;Costa Rica;Completed;Report from Marion 
LA;2015;;El Salvador;Follow-up;Part of IEAE mission 
LA;2015;;Mexico;Follow-up;Jalisco Cancer Registry in Guadalajara
;2015;;Mexico;Completed;Merida Cancer Registry 
LA;2014;;Argentina;Follow-up;Visit to Hub
LA;2014;;El Salvador;Completed;Part of RedEpican
LA;2014;;Peru;Completed;Part of IEAE mission 
LA;2014;;Honduras;Completed;Part of RedEpican
LA;2014;;Guatemala;Completed;Part of RedEpican
LA;2014;;Nicaragua;Completed;Part of RedEpican
LA;2014;;Argentina;Completed;Visit to Hub, Resistencia and Bahia Blanca
MUMB;2017;;China;Confirmed;Several registries to be visited. 
MUMB;2017;;Sri Lanka;Completed;
MUMB;2017;;Philippines;Follow-up;F/up 
MUMB;2016;;Viet Nam;Completed;Task force visit with NCI for early 2016
MUMB;2016;;Mynamar;Follow-up;Cancer Control meeting + visit to hospital NPTW
MUMB;2016;;Malaysia;Planned;Course only, remove site visit label. 
MUMB;2015;;Mynamar;Completed;IAEA Mission 
MUMB;2016;;Bhutan;Planned;
MUMB;2015;;Indonesia ;Completed;
MUMB;2015;;Philippines;Completed;
MUMB;2015;;Iran ;Completed;Recommendations being written + MoA in progress
MUMB;2015;;Laos PDR;Completed;
MUMB;2015;;Cambodia;Completed;
MUMB;2014;;India;Follow-up;Visit at Hub
MUMB;2013;;Bhutan;Completed;
MUMB;2013;;Viet Nam;Completed;
MUMB;2013;;Thailand;Completed;
MUMB;2013;;Bangladesh;Completed;
MUMB;2013;;India;Completed;Hub inauguration 
PI;2016;;Fiji ;Completed;
