id_code	id_label	ethnic_code	sex	CI5_volume	asr	median_asr	ratio	flag
582600899	UK, England, Merseyside and Cheshire	99	1	1	100.05	31.23	3.20365033621518	high
150800399	Mozambique,  Lourenco Marques	99	1	1	2.72	31.23	0.0870957412744156	low
156600199	Nigeria,  Ibadan	99	1	1	1.3	31.23	0.0416266410502722	low
180000299	Uganda, Kyadondo County	99	1	1	0.94	31.23	0.0300992635286583	low
582600899	UK, England, Merseyside and Cheshire	99	1	2	113.28	36.2	3.1292817679558	high
156600199	Nigeria,  Ibadan	99	1	2	1.38	36.2	0.038121546961326	low
156600199	Nigeria,  Ibadan	99	1	3	1.03	57.14	0.0180259012950648	low
435600699	India, Poona	99	1	4	13.7	69.97	0.195798199228241	low
384000942	USA, New Mexico: American Indian	42	1	4	11.16	69.97	0.159496927254538	low
168600199	Senegal, Dakar	99	1	4	1.23	69.97	0.0175789624124625	low
435600599	India, Nagpur	99	1	5	7.77	54.185	0.143397619267325	low
435600299	India, Bangalore	99	1	5	5.94	54.185	0.109624434806681	low
435600499	India, Chennai	99	1	5	5.75	54.185	0.106117929316231	low
225009199	France, Martinique	99	1	6	10.97	56.685	0.193525624062803	low
435600299	India, Bangalore	99	1	6	10.14	56.685	0.178883302460969	low
260400199	Peru, Trujillo	99	1	6	9.53	56.685	0.168122078151186	low
435600499	India, Chennai	99	1	6	8.51	56.685	0.150127899797124	low
221800199	Ecuador, Quito	99	1	6	8.3	56.685	0.146423216018347	low
101200199	Algeria, Sétif	99	1	6	6.43	56.685	0.1134338890359	low
146600199	Mali, Bamako	99	1	6	4.77	56.685	0.0841492458322307	low
127000099	The Gambia	99	1	6	0.88	56.685	0.0155243891682103	low
384000942	USA, New Mexico: American Indian	42	1	7	10.32	54.485	0.18940992933835	low
101200199	Algeria, Sétif	99	1	7	10.29	54.485	0.188859319078645	low
221800199	Ecuador, Quito	99	1	7	10.13	54.485	0.185922731026888	low
435600299	India, Bangalore	99	1	7	8.06	54.485	0.147930623107277	low
146600199	Mali, Bamako	99	1	7	4.59	54.485	0.0842433697347894	low
180000299	Uganda, Kyadondo County	99	1	7	4.24	54.485	0.0778195833715702	low
435600799	India, Barshi, Paranda, and Bhum	99	1	7	1.26	54.485	0.0231256309075892	low
435600899	India, Trivandrum	99	1	8	9.01	49.49	0.182056981208325	low
221800199	Ecuador, Quito	99	1	8	8.8	49.49	0.177813699737321	low
435600599	India, Nagpur	99	1	8	8.41	49.49	0.169933319862599	low
451200099	Oman: Omani	99	1	8	7.68	49.49	0.155182865225298	low
435600699	India, Poona	99	1	8	7.52	49.49	0.151949888866438	low
435600299	India, Bangalore	99	1	8	6.68	49.49	0.134976762982421	low
180000299	Uganda, Kyadondo County	99	1	8	3.86	49.49	0.0779955546575066	low
146600199	Mali, Bamako	99	1	8	2.7	49.49	0.0545564760557688	low
127000099	The Gambia	99	1	8	2.57	49.49	0.0519296827641948	low
435600899	India, Trivandrum	99	1	9	9.95	50.11	0.198563161045699	low
451200099	Oman: Omani	99	1	9	9.84	50.11	0.196367990421074	low
435600399	India, Mumbai	99	1	9	9.65	50.11	0.192576332069447	low
171600270	Zimbabwe, Harare: African	70	1	9	9.47	50.11	0.188984234683696	low
221800199	Ecuador, Quito	99	1	9	7.89	50.11	0.157453602075434	low
435600599	India, Nagpur	99	1	9	7.45	50.11	0.148672919576931	low
435600699	India, Poona	99	1	9	6.14	50.11	0.122530433047296	low
260400199	Peru, Trujillo	99	1	9	5.86	50.11	0.116942726002794	low
180000299	Uganda, Kyadondo County	99	1	9	4.84	50.11	0.0965875074835362	low
435600399	India, Mumbai	99	1	10	9.26	46.82	0.197778727039727	low
441400026	Kuwait: Non-Kuwaitis	26	1	10	8.82	46.82	0.188381033746262	low
215200299	Chile, Bío Bío Province	99	1	10	8.57	46.82	0.183041435284067	low
221800199	Ecuador, Quito	99	1	10	8.33	46.82	0.177915420760359	low
435601899	India, Sikkim State	99	1	10	7.7	46.82	0.164459632635626	low
217000499	Colombia, Pasto	99	1	10	7.34	46.82	0.156770610850064	low
435600699	India, Poona	99	1	10	6.15	46.82	0.131354122170013	low
180000299	Uganda, Kyadondo County	99	1	10	5.25	46.82	0.112131567706109	low
221800299	Ecuador, Cuenca	99	1	10	5.01	46.82	0.107005553182401	low
171000199	South Africa, Eastern Cape	99	1	10	4.77	46.82	0.101879538658693	low
435601199	India, Dindigul, Ambilikkai	99	1	10	3.71	46.82	0.0792396411789833	low
435600799	India, Barshi, Paranda, and Bhum	99	1	10	1.61	46.82	0.0343870140965399	low
145400199	Malawi, Blantyre	99	1	10	1.16	46.82	0.0247757368645878	low
169000099	Seychelles	99	1	11	8.18	43.625	0.187507163323782	low
221800199	Ecuador, Quito	99	1	11	7.96	43.625	0.182464183381089	low
441400026	Kuwait: Non-Kuwaitis	26	1	11	7.88	43.625	0.180630372492837	low
221800399	Ecuador, Guayaquil	99	1	11	7.71	43.625	0.176733524355301	low
217000499	Colombia, Pasto	99	1	11	6.81	43.625	0.156103151862464	low
435601899	India, Sikkim State	99	1	11	6.75	43.625	0.154727793696275	low
221800299	Ecuador, Cuenca	99	1	11	6.03	43.625	0.138223495702006	low
221800599	Ecuador, Manabí	99	1	11	5.73	43.625	0.13134670487106	low
140400299	Kenya, Nairobi	99	1	11	5.05	43.625	0.115759312320917	low
435601199	India, Dindigul, Ambilikkai	99	1	11	4.68	43.625	0.107277936962751	low
435600699	India, Poona	99	1	11	4.63	43.625	0.106131805157593	low
171000199	South Africa, Eastern Cape	99	1	11	4.44	43.625	0.101776504297994	low
435602099	India, Wardha	99	1	11	3.78	43.625	0.086647564469914	low
180000299	Uganda, Kyadondo County	99	1	11	2.83	43.625	0.0648710601719198	low
435600799	India, Barshi, Paranda, and Bhum	99	1	11	2.35	43.625	0.0538681948424069	low
221800199	Ecuador, Quito	99	1	12	8.24	41.225	0.199878714372347	low
435603699	India, SAS Nagar	99	1	12	7.86	41.225	0.19066100667071	low
221800399	Ecuador, Guayaquil	99	1	12	7.58	41.225	0.183869011522135	low
217000499	Colombia, Pasto	99	1	12	7.34	41.225	0.178047301394785	low
435600699	India, Poona	99	1	12	7.04	41.225	0.170770163735597	low
435603099	India, West Arunachal	99	1	12	6.77	41.225	0.164220739842329	low
171600170	Zimbabwe, Bulawayo: African	70	1	12	6.66	41.225	0.16155245603396	low
140400299	Kenya, Nairobi	99	1	12	5.98	41.225	0.145057610673135	low
435604099	India, Tamil Nadu	99	1	12	5.75	41.225	0.139478471801092	low
435601199	India, Dindigul, Ambilikkai	99	1	12	5.64	41.225	0.136810187992723	low
218800099	Costa Rica	99	1	12	5.63	41.225	0.136567616737417	low
171000199	South Africa, Eastern Cape	99	1	12	5.44	41.225	0.131958762886598	low
221800599	Ecuador, Manabí	99	1	12	5.28	41.225	0.128077622801698	low
435601699	India, Dibrugarh	99	1	12	4.96	41.225	0.120315342631898	low
435602099	India, Wardha	99	1	12	4.73	41.225	0.114736203759854	low
180000299	Uganda, Kyadondo County	99	1	12	4.26	41.225	0.103335354760461	low
435603799	India, Sangrur District	99	1	12	3.58	41.225	0.0868405093996361	low
180000399	Uganda, Gulu	99	1	12	2.76	41.225	0.066949666464524	low
435600799	India, Barshi, Paranda, and Bhum	99	1	12	2.23	41.225	0.0540933899332929	low
140400199	Kenya, Eldoret	99	1	12	2.09	41.225	0.0506973923590055	low
120400199	Benin, Cotonou	99	1	12	1.44	41.225	0.0349302607640995	low
684009945	USA, Hawaii: Hawaiian	45	2	1	21.33	6.295	3.38840349483717	high
150800399	Mozambique,  Lourenco Marques	99	2	1	0.82	6.295	0.130262112787927	low
655400028	New Zealand: Maori	28	2	2	47.87	8.03	5.96139476961395	high
684009945	USA, Hawaii: Hawaiian	45	2	2	28.88	8.03	3.59651307596513	high
156600199	Nigeria,  Ibadan	99	2	2	0.99	8.03	0.123287671232877	low
655400028	New Zealand: Maori	28	2	3	49.03	10.69	4.5865294667914	high
156600199	Nigeria,  Ibadan	99	2	3	0.8	10.69	0.0748362956033676	low
655400028	New Zealand: Maori	28	2	4	62.5	13.3	4.69924812030075	high
684009945	USA, Hawaii: Hawaiian	45	2	4	53.23	13.3	4.00225563909774	high
312401599	Canada, Northwest Territories and Yukon	99	2	4	51.4	13.3	3.86466165413534	high
168600199	Senegal, Dakar	99	2	4	0.07	13.3	0.00526315789473684	low
655400028	New Zealand: Maori	28	2	5	68.08	11.55	5.89437229437229	high
312400499	Canada, Northwest Territories	99	2	5	53.82	11.55	4.65974025974026	high
684009945	USA, Hawaii: Hawaiian	45	2	5	39.68	11.55	3.43549783549784	high
225009199	France, Martinique	99	2	5	1.79	11.55	0.154978354978355	low
435600299	India, Bangalore	99	2	5	1.61	11.55	0.139393939393939	low
435600499	India, Chennai	99	2	5	1.22	11.55	0.105627705627706	low
435600599	India, Nagpur	99	2	5	0.52	11.55	0.045021645021645	low
655400028	New Zealand: Maori	28	2	6	62.2	12.41	5.01208702659146	high
312400499	Canada, Northwest Territories	99	2	6	51.76	12.41	4.17082997582595	high
684009945	USA, Hawaii: Hawaiian	45	2	6	39.5	12.41	3.18291700241741	high
384010010	Usa, California, Alameda County: White	10	2	6	37.9	12.41	3.05398871877518	high
384000830	USA, Michigan, Detroit: Black	30	2	6	37.35	12.41	3.00966962127317	high
572400299	Spain, Granada	99	2	6	2.47	12.41	0.199033037872683	low
435600199	India, Ahmedabad	99	2	6	2.13	12.41	0.171635777598711	low
435600299	India, Bangalore	99	2	6	1.89	12.41	0.152296535052377	low
435600499	India, Chennai	99	2	6	1.38	12.41	0.111200644641418	low
101200199	Algeria, Sétif	99	2	6	0.8	12.41	0.064464141821112	low
655400028	New Zealand: Maori	28	2	7	72.93	13.045	5.5906477577616	high
312400499	Canada, Northwest Territories	99	2	7	65.56	13.045	5.02568033729398	high
312400999	Canada, Yukon	99	2	7	47.62	13.045	3.65044078190878	high
384000230	USA, California, San Francisco Bay Area: Black	30	2	7	44.33	13.045	3.39823687236489	high
384000830	USA, Michigan, Detroit: Black	30	2	7	42.02	13.045	3.22115753162131	high
384000710	USA, Louisiana, New Orleans: White	10	2	7	41.19	13.045	3.15753162131085	high
384000899	USA, Michigan, Detroit	99	2	7	40.6	13.045	3.11230356458413	high
384000260	USA, California, San Francisco Bay Area: Non-Hispanic White	60	2	7	40.42	13.045	3.09850517439632	high
384000810	USA, Michigan, Detroit: White	10	2	7	40.17	13.045	3.07934074357992	high
384000799	USA, Louisiana, New Orleans	99	2	7	39.98	13.045	3.06477577615945	high
384010160	USA, California, Central Valley: Non-Hispanic White	60	2	7	39.48	13.045	3.02644691452664	high
435600999	India, Karunagappally	99	2	7	2.59	13.045	0.198543503257953	low
435600499	India, Chennai	99	2	7	2.37	13.045	0.181678804139517	low
146600199	Mali, Bamako	99	2	7	1.8	13.045	0.137983901878114	low
435600299	India, Bangalore	99	2	7	1.67	13.045	0.128018397853584	low
101200199	Algeria, Sétif	99	2	7	1.26	13.045	0.09658873131468	low
180000299	Uganda, Kyadondo County	99	2	7	0.41	13.045	0.0314296665389038	low
435600799	India, Barshi, Paranda, and Bhum	99	2	7	0.33	13.045	0.0252970486776543	low
312400499	Canada, Northwest Territories	99	2	8	71.95	12.79	5.62548866301798	high
384000830	USA, Michigan, Detroit: Black	30	2	8	40.83	12.79	3.19233776387803	high
684009945	USA, Hawaii: Hawaiian	45	2	8	40.38	12.79	3.15715402658327	high
384000899	USA, Michigan, Detroit	99	2	8	40.1	12.79	3.13526192337764	high
384000810	USA, Michigan, Detroit: White	10	2	8	40.03	12.79	3.12978889757623	high
415600499	China, Tianjin	99	2	8	39.09	12.79	3.05629397967162	high
384001399	USA, Washington, Seattle	99	2	8	38.96	12.79	3.04612978889758	high
384000260	USA, California, San Francisco Bay Area: Non-Hispanic White	60	2	8	38.91	12.79	3.04222048475371	high
435600199	India, Ahmedabad	99	2	8	2.46	12.79	0.19233776387803	low
180000299	Uganda, Kyadondo County	99	2	8	2.33	12.79	0.182173573103988	low
435600499	India, Chennai	99	2	8	2.33	12.79	0.182173573103988	low
572401399	Spain, Cuenca	99	2	8	2.14	12.79	0.16731821735731	low
101200299	Algeria, Algiers	99	2	8	1.93	12.79	0.150899139953088	low
435600299	India, Bangalore	99	2	8	1.65	12.79	0.129007036747459	low
435600899	India, Trivandrum	99	2	8	1.28	12.79	0.100078186082877	low
435600599	India, Nagpur	99	2	8	1.27	12.79	0.0992963252541048	low
127000099	The Gambia	99	2	8	0.42	12.79	0.0328381548084441	low
146600199	Mali, Bamako	99	2	8	0.14	12.79	0.0109460516028147	low
384001999	USA, Kentucky	99	2	9	50.35	16.75	3.00597014925373	high
572400999	Spain, Albacete	99	2	9	3.28	16.75	0.195820895522388	low
572400299	Spain, Granada	99	2	9	3.26	16.75	0.194626865671642	low
435601099	India, New Delhi	99	2	9	3.24	16.75	0.193432835820896	low
441400026	Kuwait: Non-Kuwaitis	26	2	9	3.12	16.75	0.186268656716418	low
435600399	India, Mumbai	99	2	9	3.07	16.75	0.183283582089552	low
435600699	India, Poona	99	2	9	2.95	16.75	0.176119402985075	low
435600499	India, Chennai	99	2	9	2.56	16.75	0.152835820895522	low
435600599	India, Nagpur	99	2	9	2.43	16.75	0.145074626865672	low
451200099	Oman: Omani	99	2	9	2.29	16.75	0.136716417910448	low
435600999	India, Karunagappally	99	2	9	2.27	16.75	0.135522388059702	low
178800199	Tunisia, Centre, Sousse	99	2	9	1.75	16.75	0.104477611940299	low
101200199	Algeria, Sétif	99	2	9	1.73	16.75	0.103283582089552	low
435600899	India, Trivandrum	99	2	9	1.68	16.75	0.100298507462687	low
655400028	New Zealand: Maori	28	2	10	78.95	18.45	4.27913279132791	high
384006442	USA, Montana: American Indian	42	2	10	61.87	18.45	3.35338753387534	high
384006642	USA, Oklahoma: American Indian	42	2	10	56.49	18.45	3.06178861788618	high
215200299	Chile, Bío Bío Province	99	2	10	3.68	18.45	0.199457994579946	low
181800299	Egypt, Gharbiah	99	2	10	3.66	18.45	0.198373983739837	low
435601099	India, New Delhi	99	2	10	3.57	18.45	0.19349593495935	low
435600299	India, Bangalore	99	2	10	3.54	18.45	0.191869918699187	low
435600399	India, Mumbai	99	2	10	3.52	18.45	0.190785907859079	low
435600499	India, Chennai	99	2	10	3.5	18.45	0.18970189701897	low
435600699	India, Poona	99	2	10	3.48	18.45	0.188617886178862	low
435600899	India, Trivandrum	99	2	10	3.26	18.45	0.176693766937669	low
143400199	Libya, Benghazi	99	2	10	3.12	18.45	0.169105691056911	low
101200199	Algeria, Sétif	99	2	10	2.64	18.45	0.143089430894309	low
178800299	Tunisia, North	99	2	10	2.64	18.45	0.143089430894309	low
435601499	India, Bhopal	99	2	10	2.49	18.45	0.134959349593496	low
435600999	India, Karunagappally	99	2	10	2.35	18.45	0.127371273712737	low
435600799	India, Barshi, Paranda, and Bhum	99	2	10	2.32	18.45	0.125745257452575	low
221800299	Ecuador, Cuenca	99	2	10	2.19	18.45	0.11869918699187	low
435601199	India, Dindigul, Ambilikkai	99	2	10	1.03	18.45	0.0558265582655827	low
171000199	South Africa, Eastern Cape	99	2	10	0.86	18.45	0.0466124661246612	low
145400199	Malawi, Blantyre	99	2	10	0.16	18.45	0.00867208672086721	low
312401399	Canada, Nunavut	99	2	11	97.47	20.33	4.79439252336449	high
655400028	New Zealand: Maori	28	2	11	83.46	20.33	4.10526315789474	high
441400026	Kuwait: Non-Kuwaitis	26	2	11	4.06	20.33	0.199704869650762	low
441400099	Kuwait	99	2	11	4.03	20.33	0.198229217904575	low
441400025	Kuwait: Kuwaitis	25	2	11	4.02	20.33	0.197737333989179	low
221800499	Ecuador, Loja	99	2	11	3.91	20.33	0.192326610919823	low
440000099	Jordan: Jordanians	99	2	11	3.81	20.33	0.187407771765863	low
238800199	Jamaica, Kingston and St Andrew	99	2	11	3.77	20.33	0.185440236104279	low
140400299	Kenya, Nairobi	99	2	11	3.62	20.33	0.17806197737334	low
435601499	India, Bhopal	99	2	11	3.59	20.33	0.176586325627152	low
435602599	India, Cachar	99	2	11	3.35	20.33	0.164781111657649	low
221800599	Ecuador, Manabí	99	2	11	3.3	20.33	0.162321692080669	low
435602199	India, Kollam	99	2	11	3.3	20.33	0.162321692080669	low
169000099	Seychelles	99	2	11	3.27	20.33	0.160846040334481	low
180000299	Uganda, Kyadondo County	99	2	11	3.13	20.33	0.153959665518938	low
221800299	Ecuador, Cuenca	99	2	11	2.81	20.33	0.138219380226267	low
435600699	India, Poona	99	2	11	2.67	20.33	0.131333005410723	low
435602299	India, Tripura	99	2	11	2.62	20.33	0.128873585833743	low
463400068	Qatar: Qatari	68	2	11	2.51	20.33	0.123462862764388	low
101200399	Algeria, Batna	99	2	11	1.92	20.33	0.0944417117560256	low
435602099	India, Wardha	99	2	11	1.63	20.33	0.0801770782095426	low
435600799	India, Barshi, Paranda, and Bhum	99	2	11	1.52	20.33	0.0747663551401869	low
435601199	India, Dindigul, Ambilikkai	99	2	11	1.16	20.33	0.0570585341859321	low
435600199	India, Ahmedabad	99	2	11	1.06	20.33	0.0521396950319725	low
171000199	South Africa, Eastern Cape	99	2	11	1.03	20.33	0.0506640432857846	low
655400028	New Zealand: Maori	28	2	12	75.08	21.085	3.56082523120702	high
435602499	India, Meghalaya	99	2	12	4.16	21.085	0.197296656390799	low
435600699	India, Poona	99	2	12	4.11	21.085	0.194925302347641	low
441400099	Kuwait	99	2	12	3.96	21.085	0.187811240218165	low
435602199	India, Kollam	99	2	12	3.85	21.085	0.182594261323216	low
221800599	Ecuador, Manabí	99	2	12	3.78	21.085	0.179274365662793	low
441400025	Kuwait: Kuwaitis	25	2	12	3.75	21.085	0.177851553236898	low
150400199	Morocco, Casablanca	99	2	12	3.69	21.085	0.175005928385108	low
180000299	Uganda, Kyadondo County	99	2	12	3.69	21.085	0.175005928385108	low
435601399	India, Aurangabad	99	2	12	3.5	21.085	0.165994783021105	low
435601499	India, Bhopal	99	2	12	3.48	21.085	0.165046241403842	low
435602299	India, Tripura	99	2	12	3.46	21.085	0.164097699786578	low
218800099	Costa Rica	99	2	12	3.42	21.085	0.162200616552051	low
217000499	Colombia, Pasto	99	2	12	3.39	21.085	0.160777804126156	low
435602099	India, Wardha	99	2	12	2.86	21.085	0.135641451268674	low
171000199	South Africa, Eastern Cape	99	2	12	2.72	21.085	0.12900165994783	low
101200799	Algeria, Tizi Ouzou	99	2	12	2.63	21.085	0.124733222670145	low
171600170	Zimbabwe, Bulawayo: African	70	2	12	2.63	21.085	0.124733222670145	low
435604199	India, Ahmedabad, Urban	99	2	12	2.31	21.085	0.109556556793929	low
435603699	India, SAS Nagar	99	2	12	2.26	21.085	0.107185202750771	low
435604099	India, Tamil Nadu	99	2	12	2.09	21.085	0.0991225990040313	low
435601699	India, Dibrugarh	99	2	12	2.07	21.085	0.0981740573867678	low
101200399	Algeria, Batna	99	2	12	1.99	21.085	0.094379890917714	low
435600799	India, Barshi, Paranda, and Bhum	99	2	12	1.93	21.085	0.0915342660659236	low
435603799	India, Sangrur District	99	2	12	1.9	21.085	0.0901114536400284	low
435601199	India, Dindigul, Ambilikkai	99	2	12	1.82	21.085	0.0863172871709746	low
180000399	Uganda, Gulu	99	2	12	1.44	21.085	0.0682949964429689	low
120400199	Benin, Cotonou	99	2	12	1.17	21.085	0.0554896846099123	low
140400199	Kenya, Eldoret	99	2	12	0.75	21.085	0.0355703106473797	low
